,Cities,Latitude,Longitude,Temperature (°F),Humidity,Cloudiness,Wind Speed (mph)
470,chachapoyas,-6.2317,-77.869,64.8,76,29,1.9
471,kilimatinde,-5.85,34.95,72.75,69,98,0.94
472,novo aripuana,-5.1206,-60.3797,76.33,92,100,2.98
473,montes altos,-5.8333,-47.0667,87.8,66,40,2.3
474,sechura,-5.5569,-80.8222,79.48,56,17,8.03
475,omboue,-1.5746,9.2618,81.72,80,94,6.87
476,carauari,-4.8828,-66.8958,83.66,78,91,4.16
477,sao felix do xingu,-6.6447,-51.995,81.91,90,98,3.47
478,mbuji-mayi,-6.15,23.6,74.16,85,81,2.46
479,rio grande,-32.035,-52.0986,69.75,56,40,27.63
480,geraldton,-28.7667,114.6,64.4,59,75,10.36
481,graneros,-34.0667,-70.7333,66.2,45,0,6.91
482,stellenbosch,-33.9346,18.8668,63.28,77,20,10.36
483,venado tuerto,-33.7456,-61.9688,70.97,99,0,1.01
484,pergamino,-33.89,-60.5736,70.0,55,2,1.01
485,constitucion,-35.3333,-72.4167,66.07,52,0,11.34
486,nueva helvecia,-34.3,-57.2333,66.0,69,0,8.52
487,robertson,36.5167,-86.8667,72.34,46,1,8.05
488,san antonio,29.4241,-98.4936,76.6,64,75,12.66
489,talcahuano,-36.7167,-73.1167,62.6,67,0,8.05
490,margate,51.3813,1.3862,45.72,60,100,5.01
491,san pedro,14.35,121.0167,80.19,74,20,6.91
492,mercedes,-34.6515,-59.4307,70.32,62,33,1.99
493,florida,28.7505,-82.5001,82.47,47,1,6.91
494,swellendam,-34.0226,20.4417,60.8,82,66,3.44
495,port-cartier,50.0334,-66.8654,43.63,93,90,9.22
496,poletayevo,55.0336,61.1138,46.4,34,0,4.47
497,saint anthony,45.0205,-93.218,44.94,65,75,9.22
498,russkiy aktash,55.0384,52.1214,44.6,42,0,8.95
499,krasnoye,49.9145,24.6134,44.6,39,0,8.95
500,kirya,-3.9167,37.4833,82.22,50,92,7.56
501,grindavik,63.8424,-22.4338,48.2,61,0,6.91
502,westport,41.1415,-73.3579,53.08,35,1,13.8
503,sioux lookout,50.1001,-91.917,35.6,75,90,10.36
504,wladyslawowo,54.7909,18.4009,40.68,70,0,6.91
505,bolgar,54.95,49.0667,50.0,29,16,6.71
506,bulaevo,54.9056,70.4439,47.19,41,51,6.38
507,kropachevo,55.0112,57.9896,41.85,61,75,7.18
508,senno,59.5336,33.9167,37.99,92,100,57.0
509,killybegs,54.6333,-8.45,51.15,82,0,10.36
510,seaham,54.839,-1.3458,53.01,66,100,1.01
511,moville,42.4889,-96.0725,68.68,64,90,16.11
512,chik,54.9928,82.4311,51.8,46,20,11.18
513,polovinnoye,54.7914,65.9864,48.42,34,65,8.21
514,disna,55.568,28.1971,36.77,73,89,4.63
515,chany,55.3121,76.7647,47.41,59,59,7.61
516,guderup,54.9898,9.8717,46.58,53,36,5.75
517,sirvintos,55.05,24.95,35.73,81,75,6.91
518,ustka,54.5805,16.8619,40.01,56,52,9.04
519,petropavl,54.8753,69.1628,47.03,38,42,6.22
520,kremenki,54.885,37.1261,41.86,49,0,6.42
521,moose factory,51.2585,-80.6094,46.4,29,1,6.91
522,iznoski,54.9881,35.3108,35.55,68,71,3.24
523,letterkenny,54.95,-7.7333,50.0,93,90,17.27
524,alekseyevka,50.6309,38.6903,50.29,58,90,11.56
525,bridlington,54.0831,-0.1919,47.64,72,93,11.99
526,makushino,55.2103,67.2442,46.58,38,21,7.94
527,glyadyanskoye,54.9075,65.0883,48.34,38,66,8.55
528,den helder,52.9599,4.7593,46.13,66,90,13.8
529,polessk,54.862,21.1028,38.07,75,40,15.66
530,vestmannaeyjar,63.4427,-20.2734,48.2,76,0,8.05
531,turgoyak,55.15,60.1183,41.4,57,64,6.2
532,kaunas,54.9,23.9,37.4,75,75,10.36
533,mitu,1.1983,-70.1733,84.45,81,70,3.6
534,tucuma,-0.1833,-50.05,86.05,65,50,5.79
535,aquiraz,-3.9014,-38.3911,87.8,62,20,18.41
536,hobyo,5.3505,48.5268,84.13,69,65,12.8
537,mogadishu,2.0371,45.3438,83.77,74,91,12.86
538,touros,-5.1989,-35.4608,87.8,62,40,16.11
539,monrovia,6.3005,-10.7969,89.6,66,20,11.5
540,puerto ayora,-0.7393,-90.3518,82.4,69,40,13.8
541,impfondo,1.6381,18.0667,84.65,52,71,1.3
542,barcelos,41.5388,-8.6151,65.84,82,20,8.05
543,esmeraldas,-19.7625,-44.3139,85.41,30,40,8.05
544,thinadhoo,0.5333,72.9333,83.05,62,37,3.89
545,jardim,-21.4803,-56.1381,81.9,39,0,5.55
546,boa vista,2.8197,-60.6733,80.6,78,75,3.44
547,bundibugyo,0.7414,30.0417,68.14,96,89,1.41
548,muisne,0.6,-80.0333,82.45,73,99,6.93
549,harper,4.375,-7.7169,83.8,72,90,9.57
550,tabou,4.423,-7.3528,83.97,73,54,10.0
551,curillo,1.0333,-75.9191,83.5,76,99,0.67
552,matara,5.9485,80.5353,79.32,85,62,2.75
553,oriximina,-1.7656,-55.8661,83.39,78,100,1.97
554,bongandanga,1.5,21.05,79.72,68,90,2.39
555,calamar,10.2511,-74.9146,89.6,66,75,9.22
556,wamba,8.9333,8.6,79.03,70,76,6.35
557,cocobeach,1.0002,9.5823,86.0,79,40,9.22
558,kisangani,0.5167,25.2,78.06,70,88,1.97
559,ouesso,1.6136,16.0517,82.8,59,75,2.37
560,cartagena del chaira,1.3349,-74.8429,84.7,73,96,2.1
561,maralal,1.0968,36.698,64.58,65,100,4.16
562,tutoia,-2.7619,-42.2744,89.6,66,75,11.5
563,kitale,1.0157,35.0062,58.3,93,99,4.23
564,salinopolis,-0.6136,-47.3561,84.52,68,95,9.46
565,mumford,5.2618,-0.759,84.18,74,63,13.89
566,sao gabriel da cachoeira,-0.1303,-67.0892,87.8,74,40,3.44
567,yenagoa,4.9247,6.2642,86.74,66,77,7.4
568,goderich,43.7501,-81.7165,37.4,60,70,8.05
569,macapa,0.0389,-51.0664,89.6,66,40,11.5
570,basoko,1.2391,23.616,78.66,71,66,3.47
571,bonthe,7.5264,-12.505,85.66,63,55,11.79
572,comodoro rivadavia,-45.8667,-67.5,66.2,39,0,16.11
573,coihaique,-45.5752,-72.0662,55.4,62,90,3.44
574,castro,-24.7911,-50.0119,73.33,50,24,8.37
575,rawson,-43.3002,-65.1023,69.84,32,18,7.27
576,necochea,-38.5473,-58.7368,66.0,65,0,1.01
577,viedma,-40.8135,-62.9967,69.6,33,30,14.23
578,esfahan,32.6572,51.6776,73.4,23,40,11.5
579,dehloran,32.6941,47.2679,93.07,11,85,8.28
580,porto santo,33.072,-16.3415,66.2,72,40,18.41
581,canton,23.1167,113.25,71.47,94,90,2.24
582,benghazi,32.1167,20.0667,64.99,63,3,11.74
583,goose creek,32.981,-80.0326,73.38,37,1,6.91
584,miram shah,33.0086,70.0697,79.47,23,53,3.96
585,birjand,32.8663,59.2211,77.0,13,40,9.22
586,rosetta,31.4044,30.4164,68.0,56,40,11.5
587,milledgeville,33.0801,-83.2321,75.81,46,1,5.75
588,casablanca,33.5928,-7.6192,69.93,56,75,17.27
589,joshimath,30.5667,79.5667,52.95,57,8,8.88
590,uruzgan,32.8333,66.0,71.83,14,2,4.21
591,tukrah,32.5341,20.5791,62.67,69,3,9.24
592,manali,13.1667,80.2667,84.2,74,40,4.61
593,tatawin,32.9297,10.4518,98.6,9,95,10.36
594,north myrtle beach,33.816,-78.68,71.6,46,1,6.91
595,nahariyya,33.0059,35.0941,66.81,60,20,9.22
596,ardakan,32.31,54.0175,77.0,25,40,6.91
597,north augusta,33.5018,-81.9651,73.96,35,1,9.22
598,iqaluit,63.7506,-68.5145,35.29,87,90,6.91
599,verkhoturye,58.8627,60.8054,41.04,65,97,10.54
600,paamiut,61.994,-49.6678,34.52,97,100,10.22
601,chernaya kholunitsa,58.8511,51.7154,35.17,97,100,11.65
602,belyy yar,53.6039,91.3903,33.8,64,100,2.24
603,bogovarovo,58.9785,47.0246,36.28,97,100,11.36
604,olafsvik,64.8945,-23.7142,42.21,62,4,6.82
605,boo,59.3333,18.2833,39.94,48,75,14.97
606,turtas,58.9417,69.1325,40.91,58,35,7.4
607,severnyy-kospashskiy,59.0925,57.8008,36.0,100,100,3.0
608,tolmachevo,54.9824,82.7363,51.8,46,20,11.18
609,teguldet,57.3064,88.1667,36.3,96,99,5.75
610,stornoway,58.2093,-6.3865,50.0,76,75,13.8
611,sandwick,60.0,-1.25,44.6,93,75,14.97
612,parabel,58.6978,81.4825,40.5,88,100,11.3
613,mortka,59.3322,66.0214,41.47,59,72,9.46
614,nuuk,64.1835,-51.7216,35.29,100,75,10.36
615,maarianhamina,60.0973,19.9348,37.4,81,90,12.66
616,slantsy,59.1182,28.0914,35.08,99,100,1.57
617,strezhevoy,60.7333,77.5889,46.4,57,40,4.47
618,larvik,59.0533,10.0352,45.81,42,0,12.66
619,kaiu,59.0129,25.0551,39.09,93,90,5.75
620,nykoping,58.753,17.0079,41.0,56,75,6.91
621,kaduy,59.2,37.15,35.6,100,90,6.71
622,sazonovo,59.0919,35.2268,32.9,99,100,6.8
623,qaqortoq,60.7167,-46.0333,39.2,81,75,9.22
624,lerwick,60.1545,-1.1494,44.6,93,75,14.97
625,kuminskiy,58.6667,66.5667,41.67,60,57,5.84
626,tabory,58.5198,64.5495,40.28,63,66,6.51
627,visnes,59.3556,5.2242,42.8,75,75,12.66
628,karla,59.3723,24.9275,38.64,93,90,5.75
629,palivere,58.9664,23.8911,39.07,100,90,5.75
630,palmares do sul,-30.2578,-50.5097,69.51,53,41,13.96
631,salamanca,40.8333,-6.0,63.45,45,20,4.61
632,vredendal,-31.6683,18.5012,62.65,80,28,10.11
633,san francisco,37.7749,-122.4194,52.12,71,40,5.75
634,santa fe,-31.6333,-60.7,74.25,42,0,3.0
635,valparaiso,-33.0393,-71.6273,52.59,100,90,4.61
636,young,-32.6833,-57.6333,71.01,63,9,1.99
637,butterworth,5.3991,100.3638,82.6,89,40,4.61
638,oranjemund,-28.55,16.4333,62.01,90,33,7.31
639,middelburg,-25.7751,29.4648,62.8,20,20,6.35
640,parana,-31.732,-60.5238,73.33,49,2,4.0
641,san luis,-33.295,-66.3356,70.9,41,0,6.02
642,tacuarembo,-31.7333,-55.9833,67.41,51,0,7.7
643,graaff-reinet,-32.2522,24.5308,81.0,23,100,1.01
644,nizhnyaya salda,58.0776,60.7202,41.43,53,69,12.06
645,yukamenskoye,57.8865,52.2416,38.28,84,99,15.3
646,pizhma,57.8642,47.1171,37.72,85,81,9.86
647,visby,57.6409,18.296,36.05,81,75,16.11
648,verkhoshizhemye,58.011,49.1038,38.34,86,99,12.35
649,vagay,57.9375,69.0217,41.36,53,16,5.73
650,lysva,58.1086,57.8053,40.71,66,100,13.94
651,dno,57.8277,29.9637,37.38,85,100,5.08
652,peterhead,57.5058,-1.7981,45.82,93,75,9.22
653,podgornoye,51.735,39.1496,53.6,28,0,11.18
654,nizhnyaya tavda,57.6731,66.1725,43.43,50,59,5.53
655,pavilosta,56.8879,21.1859,38.21,93,90,10.36
656,seredka,58.1584,28.1858,39.2,87,75,6.71
657,kyshtovka,56.555,76.6271,43.25,75,41,6.04
658,hirtshals,57.5881,9.9592,47.5,31,0,5.75
659,mazsalaca,57.8633,25.0547,39.0,76,100,1.99
660,krasnyy kholm,58.0607,37.1203,36.43,85,100,7.65
661,udomlya,57.8794,34.9925,36.88,86,100,6.44
662,mendeleyevo,56.0333,37.2167,42.8,49,0,6.71
663,yarkovo,57.4028,67.0786,43.36,47,50,6.08
664,azanka,58.0401,64.7893,41.72,57,56,6.35
665,varhaug,58.6147,5.6457,43.99,70,36,10.22
666,ventspils,57.3894,21.5606,39.2,93,90,8.05
667,nizhniy tagil,57.9194,59.965,40.96,54,49,13.2
668,rio gallegos,-51.6226,-69.2181,66.2,32,75,25.32
669,japura,-0.3167,102.35,74.26,97,24,2.17
670,inongo,-1.95,18.2667,79.03,75,93,3.13
671,calceta,-0.85,-80.1667,78.8,89,75,4.61
672,kanungu,-0.9575,29.7897,63.27,95,100,2.77
673,manta,-0.95,-80.7333,80.6,83,75,5.75
674,nueva loja,0.0847,-76.8828,77.0,88,90,5.75
675,terra santa,-2.1042,-56.4869,83.28,77,100,2.33
676,boende,-0.2167,20.8667,80.96,67,100,2.33
677,puerto leguizamo,-0.1934,-74.7819,85.14,72,95,1.45
678,goma,-1.6792,29.2228,71.6,68,75,9.22
679,lambarene,-0.7001,10.2406,80.2,85,94,5.59
680,owando,-0.4819,15.8999,80.74,70,88,3.4
681,thika,-1.0333,37.0693,67.48,68,40,4.61
682,tena,-0.9833,-77.8167,84.2,79,75,3.44
683,keroka,-0.7758,34.9453,57.7,95,87,1.1
684,manaus,-3.1019,-60.025,76.05,100,75,12.66
685,maraa,-1.8333,-65.3667,83.37,86,88,3.24
686,port-gentil,-0.7193,8.7815,87.8,70,40,10.36
687,gurupa,-1.405,-51.64,84.54,75,97,3.47
688,yangambi,0.8102,24.4336,78.48,67,38,0.31
689,taybad,34.74,60.7756,74.21,14,88,8.19
690,garmsar,35.2182,52.3409,82.44,21,48,5.39
691,virginia beach,36.8529,-75.978,62.69,27,20,18.41
692,kamyaran,34.7956,46.9355,73.4,20,90,4.61
693,southaven,34.989,-90.0126,75.34,43,75,10.36
694,hamadan,34.7992,48.5146,64.35,38,95,5.75
695,rockingham,42.9668,-71.0995,47.26,28,1,7.0
696,tagab,34.855,69.6492,73.4,21,75,19.57
697,sabzevar,36.2126,57.6819,81.54,15,83,6.58
698,kumluca,36.3703,30.2869,68.5,59,3,4.0
699,clemson,34.6834,-82.8374,70.54,43,1,3.44
700,kenitra,34.261,-6.5802,66.2,77,75,8.05
701,leh,34.1667,77.5833,36.91,27,7,3.29
702,methoni,36.8197,21.7049,64.71,63,40,5.75
703,elizabeth city,36.2946,-76.2511,67.21,34,1,12.66
704,karpathos,35.507,27.2132,60.8,72,0,21.85
705,kargil,34.5667,76.1,35.85,41,6,5.75
706,asimion,35.05,25.1,61.93,72,20,11.5
707,pachino,36.7186,15.0907,63.81,52,20,8.05
708,salamiyah,35.0113,37.0532,61.05,66,0,17.56
709,goldsboro,35.3849,-77.9928,71.49,40,1,5.75
710,damghan,36.1683,54.348,76.3,29,97,4.7
711,spartanburg,34.9496,-81.9321,69.17,37,1,4.12
712,sidi ali,36.0998,0.4206,65.79,55,5,8.01
713,birin,26.8865,88.0718,66.36,17,29,7.65
714,torbat-e jam,35.244,60.6225,74.1,14,91,5.73
715,staropyshminsk,56.9387,60.903,42.8,39,0,6.71
716,uva,56.9908,52.1852,46.0,51,90,1.01
717,samus,56.7475,84.6992,46.4,29,0,8.95
718,sanchursk,56.9413,47.2499,38.68,72,9,7.67
719,sernur,56.9333,49.1536,38.53,71,44,8.61
720,achit,56.7985,57.8994,41.04,55,17,12.97
721,bezhanitsy,56.9767,29.8907,37.83,76,100,5.57
722,boddam,57.4667,-1.7833,45.84,93,75,9.22
723,portree,57.4129,-6.1942,48.99,81,80,7.0
724,bakchar,57.0186,82.0711,43.0,79,85,10.56
725,bogandinskiy,56.8937,65.8938,42.8,39,20,4.47
726,liepaja,56.5419,21.0367,37.4,93,90,10.36
727,pytalovo,57.0679,27.9138,39.06,71,100,5.35
728,gistrup,56.9943,9.9909,47.34,31,20,5.75
729,sigulda,57.1519,24.8647,39.0,77,100,7.0
730,oskarshamn,57.2645,16.4484,39.99,69,97,1.99
731,uspenka,48.3903,39.1619,44.92,83,93,10.13
732,dubna,56.7333,37.1667,37.63,67,78,3.47
733,torzhok,57.0436,34.9622,35.82,74,56,4.54
734,yelovo,57.0538,54.9207,43.83,57,68,14.94
735,zavodouspenskoye,56.8626,65.0155,42.8,39,20,4.47
736,pervouralsk,56.9053,59.9436,42.8,39,0,6.71
737,riga,57.0,24.0833,41.0,70,20,3.44
738,eirunepe,-6.6603,-69.8736,75.18,89,100,3.49
739,conceicao do araguaia,-8.2578,-49.2647,89.6,58,40,3.44
740,santa rita,-7.1139,-34.9781,86.0,66,40,11.5
741,pitimbu,-7.4706,-34.8086,86.0,66,40,11.5
742,humaita,-7.5061,-63.0208,83.23,80,93,3.87
743,ambilobe,-13.2,49.05,75.11,88,19,3.76
744,eten,-6.9081,-79.8642,70.11,64,0,16.11
745,pocinhos,-7.0767,-36.0611,86.0,45,40,13.8
746,moba,33.2288,105.0179,48.29,77,100,2.53
747,padang,-0.9492,100.3543,77.0,94,20,3.44
748,picota,-6.9197,-76.3304,80.6,78,75,2.3
749,mancio lima,-7.6142,-72.8958,77.0,100,90,4.61
750,manono,-7.3,27.4167,72.86,90,99,2.64
751,soyo,-6.1349,12.3689,81.46,81,74,7.47
752,kaniama,-7.5667,24.1833,69.58,90,82,1.28
753,contamana,-7.3333,-75.0167,81.21,87,78,2.42
754,kilosa,-6.8333,36.9833,71.94,92,96,2.01
755,oeiras,-7.0253,-42.1311,95.27,35,34,6.15
756,celendin,-6.8703,-78.1517,64.4,59,75,6.91
757,mafinga,-7.25,35.0667,71.73,77,83,2.08
758,bom jardim,-7.7958,-35.5872,86.0,45,40,13.8
759,pauini,-7.7136,-66.9764,73.72,98,100,3.22
760,gamba,-2.65,10.0,81.36,79,100,6.69
761,gandajika,-6.75,23.95,74.12,79,86,2.42
762,kathmandu,27.7167,85.3167,69.8,40,20,2.3
763,puerto del rosario,28.5004,-13.8627,75.2,53,40,14.97
764,houma,29.5958,-90.7195,76.53,60,1,9.22
765,sebastian,35.1668,-94.2669,73.47,60,1,5.75
766,ubauro,28.1652,69.7289,93.96,9,10,9.86
767,telde,27.9924,-15.4192,71.49,56,75,11.5
768,matay,28.419,30.7792,78.84,24,0,12.37
769,clearwater,27.9659,-82.8001,81.68,47,1,6.91
770,bhinga,27.7167,81.9333,82.0,63,0,3.0
771,surab,28.4914,66.2585,72.32,14,37,7.11
772,nuh,28.1167,77.0167,90.9,19,0,6.62
773,gat,31.61,34.7642,65.17,100,17,7.83
774,ghauspur,28.1391,69.0831,87.8,40,27,9.33
775,hurghada,27.2574,33.8129,82.4,30,0,16.11
776,lar,26.2039,83.9717,89.51,9,58,4.56
777,winston,28.0317,-82.0148,81.66,50,40,9.22
778,khuzdar,27.7384,66.6434,81.46,15,78,3.67
779,iranshahr,27.2025,60.6848,95.0,11,0,11.5
780,ous,60.9058,61.5186,39.85,67,89,8.52
781,kortkeros,61.8106,51.5806,39.2,70,20,4.47
782,vychegodskiy,61.247,46.8984,37.24,94,100,3.29
783,norrtalje,59.758,18.705,37.47,56,0,14.97
784,pangnirtung,66.1451,-65.7125,35.6,87,90,4.61
785,urdoma,61.7533,48.5442,37.58,81,100,3.44
786,gornopravdinsk,60.05,69.9,36.23,86,18,6.26
787,krasnovishersk,60.4078,57.082,35.74,97,100,6.31
788,kuznechnoye,61.12,29.8686,43.0,83,100,6.6
789,brae,60.3964,-1.353,44.6,93,75,14.97
790,vagur,61.4732,-6.8119,44.19,90,100,25.66
791,kargasok,59.0556,80.8572,41.45,89,100,14.23
792,lugovoy,42.9472,72.7644,56.62,59,36,6.49
793,maniitsoq,65.4167,-52.9,34.2,97,100,4.92
794,lappeenranta,61.0587,28.1887,39.94,81,90,10.36
795,nizhnevartovsk,60.9344,76.5531,46.4,57,40,4.47
796,dokka,60.84,10.0618,36.27,44,22,4.0
797,riihimaki,60.7377,24.7773,38.34,89,100,7.07
798,soderhamn,61.3037,17.0592,41.83,50,30,1.99
799,vytegra,61.0064,36.4481,36.7,97,100,5.79
800,voznesenye,61.0106,35.4781,36.09,89,100,8.81
801,gayny,60.3071,54.3241,34.45,89,80,6.87
802,kondinskoye,59.6481,67.41,42.04,60,34,10.11
803,kommunisticheskiy,61.6789,64.4819,39.18,66,77,7.56
804,aras,42.5617,-2.356,60.4,67,40,4.61
805,uusikaupunki,60.8004,21.4084,39.2,81,90,5.75
806,polunochnoye,60.8697,60.4153,37.78,74,96,7.74
807,valkeakoski,61.2642,24.0312,37.47,81,90,9.22
